,0,1
0,科比 科比,37
1,科比,35
2,一个,23
3,再见,23
4,青春,16
5,Kobe,16
6,真的,14
7,曼走,13
8,篮球,11
9,退役,11
10,这个,10
11,永远,10
12,最后,10
13,就是,10
14,纪录片,9
15,洛杉矶,9
16,精神,9
17,mamba out,9
18,慢走,8
19,但是,8
20,不是,8
21,一路,7
22,不会,7
23,Mamba,7
24,球员,7
25,致敬,7
26,球迷,7
27,喜欢,7
28,自己,7
29,努力,6
30,那个,6
31,我们,6
32,伟大,6
33,这么,6
34,英雄,6
35,凌晨 四点,6
36,曼巴 精神,6
37,没有,5
38,看到,5
39,RIP,5
40,老大,5
41,虽然,5
42,告别,5
43,NBA,5
44,新浪,5
45,偶像,5
46,Mamba Never,5
47,never out,5
48,乔丹,4
49,黑曼巴,4
